order_id,customer_id,product,quantity,price,order_date,amount,status
6609fafd-3322-4693-b62c-720ad35d54ac,7085a473-1214-4f94-a723-1054d48c30c2,empanadas,2.0,75.0,13-09-2025 01:40:23,150.0,completed
24bb8a95-0084-4a70-b0ca-3e8466e87c4c,dfc92124-aa59-4598-a16f-d458c37af1ec,empanadas,2.0,100.0,03-01-2025 16:02:04,200.0,completed
8cfbed05-46da-4114-be8b-2aa7d943c49a,c4abae62-bea9-4f1d-b110-018b24c34960,cookies,1.0,100.0,15-08-2025 20:19:25,100.0,completed
72a9facc-92bc-47df-b3c2-a953d98f0c5a,92bc581a-0f2a-4863-b883-04f5642f1c86,empanadas,1.0,75.0,05-03-2025 08:09:16,75.0,completed
f001b633-9eb7-422a-b642-6bbad17558e6,3aa33844-bb24-4716-a0cd-8a5c9adc51b6,cookies,2.0,50.0,26-03-2025 05:48:31,100.0,completed
b285d555-6fbd-4002-97cb-f5022f1cdbdc,f40b1e09-0dc6-4be6-95e6-022d12a04a11,cookies,2.0,50.0,06-03-2025 10:00:08,100.0,completed
14ea6827-8703-4d78-b8d4-9e8c29cdcb76,cf419443-9be5-4481-86fd-770bef03b6bd,cake,2.0,0.0,27-04-2025 14:28:07,0.0,completed
89566b42-b183-4409-aa3c-230fa9a81ca5,5c3f7d5f-bfd4-4f84-bc47-12fe99dd8d44,empanadas,3.0,0.0,21-02-2025 14:11:11,0.0,completed
a375443f-50bb-4e2c-b65f-1977b0038928,e01ec72b-3a92-493d-a7f3-d97914b2b6b9,empanadas,1.0,75.0,24-05-2025 09:04:15,75.0,completed
a2f4811d-a594-4570-9634-fb9a2f3dfd08,3e19e6a3-280b-429e-8412-a14ad7c8c7fd,cake,1.0,100.0,26-06-2025 12:02:40,100.0,completed
f3987604-d18d-4eb9-8b93-eecada700e1d,e01ec72b-3a92-493d-a7f3-d97914b2b6b9,empanadas,1.0,75.0,02-07-2025 11:13:03,75.0,completed
26df08d5-3ff9-441c-9e1e-575d36a422e4,0a23484d-928c-467d-b13d-18c8dfe67a40,cake,2.0,0.0,23-01-2025 03:58:24,0.0,completed
1b357b4b-e8c4-4c14-81ec-a51542e2a253,7ed6d01c-c81d-46f5-9ad0-0b7821b0bbc7,empanadas,3.0,75.0,04-01-2025 20:40:57,225.0,completed
a9dd3c82-16d3-4e55-adf9-a8d22db9b079,d17cebf4-1ced-436c-9ed8-2c1b2118a0d5,cake,3.0,50.0,21-06-2025 03:35:54,150.0,completed
f473e75d-9c8d-43d2-857f-8eb9599ccfd5,dfc92124-aa59-4598-a16f-d458c37af1ec,empanadas,3.0,50.0,21-01-2025 06:44:18,150.0,completed
190e5e55-df76-4380-8f75-c8fcf556658f,c4abae62-bea9-4f1d-b110-018b24c34960,cookies,2.0,75.0,22-03-2025 01:12:23,150.0,completed
ca0cd9f8-b6e6-4b12-ae8c-79e35d54536f,cf419443-9be5-4481-86fd-770bef03b6bd,cake,1.0,100.0,16-06-2025 18:39:02,100.0,completed
36647f87-74ce-46c3-8393-a67a928c98ea,dd076bd4-3449-4894-93fd-f009074a46fb,cookies,3.0,100.0,03-09-2025 21:08:22,300.0,completed
801af641-b22a-4318-914a-45ffd9df76ff,762ac059-a6a2-4def-b9fb-6b54253381af,empanadas,1.0,0.0,25-09-2025 21:44:16,0.0,completed
2c99d242-b3ad-44c7-be98-efe78af12fa4,f295a228-0ed8-46a9-92ec-77d3f630218a,empanadas,1.0,100.0,16-01-2025 17:17:37,100.0,completed
61bc4966-0150-41cb-a0a0-d3e04363fcfa,92bc581a-0f2a-4863-b883-04f5642f1c86,cake,3.0,75.0,01-01-2025 09:25:43,225.0,completed
8e4d9a52-d26f-4f42-bfd3-8e3e0cc9a00c,54008299-ba08-4dd2-a7f0-0a41fcdde288,empanadas,3.0,75.0,30-01-2025 00:36:08,225.0,completed
6ca02f10-8668-4ae9-aee7-02af9d397ee8,5c3f7d5f-bfd4-4f84-bc47-12fe99dd8d44,empanadas,1.0,75.0,29-09-2025 15:31:33,75.0,completed
b4db2776-6d79-4ea2-b9a5-a714160a46eb,e7c8a872-65a6-4da3-8055-4fc0c221222e,empanadas,1.0,100.0,03-04-2025 21:51:21,100.0,completed
30508f71-00f1-4b95-97fa-923c1a1c8d66,70ea0734-0cde-4ad1-80f3-43bd445fa7a7,cake,1.0,0.0,30-03-2025 11:10:17,0.0,completed
792158bb-c888-4530-933c-2ab06e594009,31aad8da-971c-42c2-b229-83b33e5d3d09,empanadas,1.0,0.0,20-07-2025 03:35:30,0.0,completed
191124c9-45bb-4e60-99af-c71392b0db57,22396cb8-b61a-41d0-ab15-6385b2471f19,cookies,1.0,50.0,18-02-2025 07:10:55,50.0,completed
05e8cb59-d19d-4f43-a165-1054b2908695,dd076bd4-3449-4894-93fd-f009074a46fb,cookies,2.0,0.0,27-06-2025 07:04:08,0.0,completed
646af315-4e9f-43dd-a6c7-03d28836ce80,50991f14-9bdb-4f2e-891b-b209a5b05ea7,empanadas,3.0,100.0,02-08-2025 21:30:50,300.0,completed
980d8dd4-ad0f-4ebd-89d7-2b9f9a096e20,7ed6d01c-c81d-46f5-9ad0-0b7821b0bbc7,cake,3.0,0.0,27-07-2025 04:30:22,0.0,completed
cd0bdea1-e50e-49a7-afd3-35191c2aeca8,7ed6d01c-c81d-46f5-9ad0-0b7821b0bbc7,empanadas,3.0,0.0,16-07-2025 18:23:46,0.0,completed
04e59e63-9c47-4dcd-b1a1-2b7046261cab,42160883-1e75-4188-bc3e-1732f07beb67,cookies,1.0,0.0,05-08-2025 17:00:50,0.0,completed
800bc707-5a2f-4372-9e87-06e49470dce7,90d34d1e-0d0f-4e4b-a715-d69c590310d2,empanadas,1.0,100.0,29-09-2025 16:57:47,100.0,completed
b6b08b20-e753-4862-963a-36b2dec727aa,aad92d07-1316-4601-89b7-0d3c5becee7b,cake,3.0,75.0,05-08-2025 11:07:51,225.0,completed
6b46fadb-9da0-4dbf-a8ae-f7867d256be5,90d34d1e-0d0f-4e4b-a715-d69c590310d2,cake,3.0,0.0,24-07-2025 00:23:41,0.0,completed
ef33cc1a-0cae-4a92-b79e-b6e1943d3c75,776b6fbe-d062-4b38-932d-4c0775e0e19e,empanadas,3.0,100.0,14-03-2025 04:20:35,300.0,completed
d6a1bd73-e54d-416d-99f9-797aaa2504af,dd076bd4-3449-4894-93fd-f009074a46fb,empanadas,1.0,100.0,14-06-2025 16:25:27,100.0,completed
552beab9-0ea5-455f-b7d2-30985c2d5619,22396cb8-b61a-41d0-ab15-6385b2471f19,cookies,3.0,75.0,05-09-2025 05:28:05,225.0,completed
0aac910c-4714-41f3-8394-b125c39535f0,54008299-ba08-4dd2-a7f0-0a41fcdde288,cake,3.0,0.0,16-05-2025 08:21:14,0.0,completed
a05548c1-3fcb-4e7e-bf90-288348403d5b,e9abec5a-8212-4804-b456-c4ab571e4701,empanadas,3.0,75.0,19-05-2025 21:44:32,225.0,completed
3f432a9e-2ab5-43e0-ae73-08eab9de30b2,0a23484d-928c-467d-b13d-18c8dfe67a40,cookies,1.0,0.0,05-08-2025 14:36:31,0.0,completed
b9e86b76-6204-4ba3-9223-8c5fe7274255,46325792-820c-429a-a476-54d70a540e69,empanadas,2.0,100.0,13-02-2025 00:42:49,200.0,completed
1f9a528b-c8df-4dfe-a5a3-5eb1c911e826,060c2282-1d7f-4373-bf3b-c26d65632af6,cake,3.0,75.0,22-09-2025 02:50:54,225.0,completed
